#Network | Station | Latitude | Longitude | Elevation | SiteName | StartTime | EndTime
NZ|MGCS|-41.507681|173.944393|9.000000|Blenheim Marlborough Girls College|2002-02-22T00:00:00|
NZ|MHCZ|-43.531650|171.567880|648.000000|Mount Hutt|2013-05-13T00:00:00|
NZ|MHGZ|-39.152558|177.907001|302.000000|Mahia Peninsula|2006-05-04T00:00:00|
NZ|MISS|-41.314888|174.818435|8.000000|Wellington Miramar School|1999-07-22T00:00:00|
NZ|MJCB|-41.288582|174.774443|12.000000|Wellington Majestic Centre|2011-06-28T00:00:00|
NZ|MKAZ|-37.104130|175.161170|140.000000|Moumoukai|1995-01-10T00:00:00|
NZ|MKBS|-41.225900|174.698100|231.000000|Makara Bunker|2011-05-24T00:00:00|
NZ|MKFS|-44.231764|169.229971|340.000000|Makarora Fire Station|2025-10-02T19:10:00|
NZ|MKRZ|-38.138435|176.467157|963.000000|Makatiti|2003-05-23T00:00:00|
NZ|MKTZ|-43.870610|169.179505|1098.000000|Mataketake Range|2025-02-20T12:00:00|
NZ|MKVS|-41.265421|174.705524|81.000000|Makara Village|2011-11-07T00:00:00|
NZ|MLZ|-45.366544|168.118407|594.000000|Mavora Lakes|1996-03-09T00:00:00|
NZ|MMCS|-37.815878|175.769790|77.000000|Matamata College|2002-06-26T00:00:00|
NZ|MMKS|-29.267289|-177.907904|571.000000|Raoul Mount Moumoukai|2021-10-24T03:28:00|
NZ|MNGS|-39.807780|175.790830|324.000000|Mangaweka School|2001-11-26T00:00:00|
NZ|MNKT|-37.046566|174.511748|0.000000|Manukau|2010-07-15T00:00:00|
NZ|MNMZ|-39.021589|175.835268|469.000000|Mangamawhitiwhiti|2023-09-14T22:37:00|
NZ|MNTZ|-35.419509|173.708486|285.000000|Mangatoa|2022-12-19T22:30:00|
NZ|MNZS|-43.637364|172.973808|102.000000|Menzies Bay Banks Peninsula|2013-03-15T00:00:00|
NZ|MOLS|-42.088023|173.257401|888.000000|Molesworth Station|2002-10-12T00:00:00|
NZ|MORS|-43.539500|172.621400|17.000000|Moorhouse Ave Christchurch|2012-04-19T00:00:00|
NZ|MOSS|-45.667802|168.237836|303.000000|Mossburn School|2002-06-14T00:00:00|
NZ|MOTS|-41.124690|173.009503|13.000000|Motueka DOC workshop|2002-10-09T00:00:00|
NZ|MOVZ|-39.406749|175.752844|874.000000|Moawhango|2004-06-01T00:00:00|
NZ|MPSS|-43.499375|172.642253|10.000000|Mairehau Primary School|2012-04-18T00:00:00|
NZ|MQZ|-43.706082|172.653766|57.000000|McQueen's Valley|1989-10-13T00:00:00|
NZ|MRHZ|-38.833700|176.417300|772.000000|Matea Rd|2010-05-14T00:00:00|
NZ|MRNZ|-41.399030|172.757660|319.000000|Matariki Terrace Road|2015-04-02T00:00:00|
NZ|MRTZ|-39.208621|174.085381|477.000000|Maude Track|2026-06-17T21:45:00|
NZ|MRZ|-40.660545|175.578527|286.000000|Mangatainoka River|1992-04-08T00:00:00|
NZ|MSMC|-43.704588|171.402269|376.000000|Mount Somers School|2005-02-24T00:00:00|
NZ|MSWZ|-41.415832|175.249460|403.000000|Moikau Station|2003-08-28T00:00:00|
NZ|MSZ|-44.673334|167.926399|55.000000|Milford Sound|1966-03-03T00:00:00|
NZ|MTHS|-43.563194|171.666362|410.000000|Methven North|2011-08-27T00:00:00|
NZ|MTHZ|-38.852300|176.841100|620.000000|Maungataniwha|2011-10-20T00:00:00|
